icon_name	target_size	category	source	source_dimensions	decoder
exp	48	apps	kmenuedit/icons/mini-exp.xpm	16x14	xpm-fallback
eyes	16	apps	kmenuedit/icons/mini-eyes.xpm	16x14	xpm-fallback
eyes	22	apps	kmenuedit/icons/mini-eyes.xpm	16x14	xpm-fallback
eyes	24	apps	kmenuedit/icons/mini-eyes.xpm	16x14	xpm-fallback
eyes	32	apps	kmenuedit/icons/mini-eyes.xpm	16x14	xpm-fallback
eyes	48	apps	kmenuedit/icons/mini-eyes.xpm	16x14	xpm-fallback
f-src	16	apps	pics/mini/f_src.xpm	16x16	pillow
f-src	22	apps	pics/mini/f_src.xpm	16x16	pillow
f-src	24	apps	pics/f_src.xpm	32x32	pillow
f-src	32	apps	pics/f_src.xpm	32x32	pillow
f-src	48	apps	pics/f_src.xpm	32x32	pillow
filefloppy	16	actions	pics/toolbar/filefloppy.xpm	22x22	pillow
filefloppy	22	actions	pics/toolbar/filefloppy.xpm	22x22	pillow
filefloppy	24	actions	pics/toolbar/filefloppy.xpm	22x22	pillow
filefloppy	32	actions	pics/toolbar/filefloppy.xpm	22x22	pillow
filefloppy	48	actions	pics/toolbar/filefloppy.xpm	22x22	pillow
filemail	16	actions	pics/toolbar/filemail.xpm	22x22	pillow
filemail	22	actions	pics/toolbar/filemail.xpm	22x22	pillow
filemail	24	actions	pics/toolbar/filemail.xpm	22x22	pillow
filemail	32	actions	pics/toolbar/filemail.xpm	22x22	pillow
filemail	48	actions	pics/toolbar/filemail.xpm	22x22	pillow
filemgr	16	apps	kmenuedit/icons/mini-filemgr.xpm	16x14	xpm-fallback
filemgr	22	apps	kmenuedit/icons/mini-filemgr.xpm	16x14	xpm-fallback
filemgr	24	apps	kmenuedit/icons/mini-filemgr.xpm	16x14	xpm-fallback
filemgr	32	apps	kmenuedit/icons/mini-filemgr.xpm	16x14	xpm-fallback
filemgr	48	apps	kmenuedit/icons/mini-filemgr.xpm	16x14	xpm-fallback
filenew	16	actions	pics/toolbar/filenew.xpm	22x22	pillow
filenew	22	actions	pics/toolbar/filenew.xpm	22x22	pillow
filenew	24	actions	pics/toolbar/filenew.xpm	22x22	pillow
