date	commit	sha256	path
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	7423df136c93bc88cacc43c4445a9891176aa6c32fa3aabe28399558761ddc9c	kcontrol/locale/pics/flag_nl.gif
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	a37fcc26216688f4c693e4251ae44f149e92d176b711237680d5ad6e9cce40d7	kcontrol/locale/pics/flag_no.gif
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	6554f8726dba405bbebffde025d297f70fec9bb3bf1c275f0a28d90a785ee1b4	kcontrol/locale/pics/flag_pl.gif
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	a986b20fd942cd9d7b3f8bb35f6327246524f1815cc29625146ff231dfbbaf11	kcontrol/locale/pics/flag_pt.gif
1998-06-19	d25e9a479f037160e451f4c233f9dae9d37c63ec	91b0f32a28df794bae889bceae3f343b653dcdf4cd8a323223e44804ad8a462b	kcontrol/locale/pics/flag_pt_BR.gif
1998-01-22	0658bbdcd1be0ea4fb10e1c9d38a79c16d865f5c	accb77a0cd8a08f929ad74c6dd14c24ebdf4928c74b7a33eec16d0a2c2121bff	kcontrol/locale/pics/flag_ro.gif
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	4b523ed5584bc14350602ed2b39fb041f0111d4af5c1be525c1b7fbde63c4a98	kcontrol/locale/pics/flag_ru.gif
1999-01-15	a2796384a52e3a3faf0fad547fbbe5de76ebedbd	27df49263f69d5adc8ff60084fbda904d8764847c2c6b2c869efa42e767a119e	kcontrol/locale/pics/flag_se.gif
1998-04-10	65df129152e9ed87391686b7892e232299187fbd	89fa7caebc714d7acbd07489b600ece4b072779b7e3ccc5c188d97d4b59088be	kcontrol/locale/pics/flag_sk.gif
1999-09-04	3fd90c82d8c5880203472c1dc70504b1f564ae51	ad3f77b81d879a50927bb1f547c79cec45547ca3f71b7600980ee373d8b83db4	kcontrol/locale/pics/flag_sl.gif
1998-01-15	ec5a7d0904e3e9f440ef387d115ba34fa492aed1	a1b529f0546e9076b20eaa6571c8fc4fa55c5c7728ab9b6a71b82edecadfd590	kcontrol/locale/pics/flag_sv.gif
1999-01-02	ab86ee079b0645a0f14b1604d3835ba19f27857f	220acca76436d5f9ee9fe2188608ae3418a9a63051fecceb8a14f2ba4dc8f0b7	kcontrol/locale/pics/flag_tr.gif
1999-02-01	b31d43e245a650cdbf0fe23c757e986e68045833	3da827ab60e4621b473bc59fde1c2c637858b59006288d550e861dbcd874e0ee	kcontrol/locale/pics/flag_us_eu.gif
