icon_name	target_size	category	source	source_dimensions	decoder
filenew	24	actions	pics/toolbar/filenew.xpm	22x22	pillow
filenew	32	actions	pics/toolbar/filenew.xpm	22x22	pillow
filenew	48	actions	pics/toolbar/filenew.xpm	22x22	pillow
fileopen	16	actions	pics/toolbar/fileopen.xpm	22x22	pillow
fileopen	22	actions	pics/toolbar/fileopen.xpm	22x22	pillow
fileopen	24	actions	pics/toolbar/fileopen.xpm	22x22	pillow
fileopen	32	actions	pics/toolbar/fileopen.xpm	22x22	pillow
fileopen	48	actions	pics/toolbar/fileopen.xpm	22x22	pillow
fileprint	16	actions	pics/toolbar/fileprint.xpm	22x22	pillow
fileprint	22	actions	pics/toolbar/fileprint.xpm	22x22	pillow
fileprint	24	actions	pics/toolbar/fileprint.xpm	22x22	pillow
fileprint	32	actions	pics/toolbar/fileprint.xpm	22x22	pillow
fileprint	48	actions	pics/toolbar/fileprint.xpm	22x22	pillow
fileprint-gray	16	actions	pics/toolbar/fileprint_gray.xpm	22x22	pillow
fileprint-gray	22	actions	pics/toolbar/fileprint_gray.xpm	22x22	pillow
fileprint-gray	24	actions	pics/toolbar/fileprint_gray.xpm	22x22	pillow
fileprint-gray	32	actions	pics/toolbar/fileprint_gray.xpm	22x22	pillow
fileprint-gray	48	actions	pics/toolbar/fileprint_gray.xpm	22x22	pillow
finish	16	actions	pics/toolbar/finish.xpm	22x22	pillow
finish	22	actions	pics/toolbar/finish.xpm	22x22	pillow
finish	24	actions	pics/toolbar/finish.xpm	22x22	pillow
finish	32	actions	pics/toolbar/finish.xpm	22x22	pillow
finish	48	actions	pics/toolbar/finish.xpm	22x22	pillow
finish-gray	16	actions	pics/toolbar/finish_gray.xpm	22x22	pillow
finish-gray	22	actions	pics/toolbar/finish_gray.xpm	22x22	pillow
finish-gray	24	actions	pics/toolbar/finish_gray.xpm	22x22	pillow
finish-gray	32	actions	pics/toolbar/finish_gray.xpm	22x22	pillow
finish-gray	48	actions	pics/toolbar/finish_gray.xpm	22x22	pillow
floppy-mount	16	places	pics/floppy_mount.xpm	32x32	pillow
floppy-mount	22	places	pics/floppy_mount.xpm	32x32	pillow
floppy-mount	24	places	pics/floppy_mount.xpm	32x32	pillow
floppy-mount	32	places	pics/floppy_mount.xpm	32x32	pillow
floppy-mount	48	places	pics/floppy_mount.xpm	32x32	pillow
floppy-unmount	16	places	pics/floppy_unmount.xpm	32x32	pillow
